"","Law ID","State","Effect","Law Class","Law Class Subcategory","Definition","Type of Change","Handguns or Longguns","Effective Date","Content","Supersession Date"
"1541","NC1047","North Carolina",NA,"Firearm Removal At Scene Of Domestic Violence",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning removal of firearms at scene of domestic violence incident",NA
"1542","NC1048","North Carolina","Restrictive","Firearms In College/University","Public And Private : Ccw Not Allowed","Prohibits concealed carrying on the property of all public colleges and universities","Implement","Handgun",2013-10-01,"The provisions of this section shall not apply to an employee of a public or nonpublic school who resides on the campus of the school at which the person is employed when all of the following criteria are met: The handgun is possessed in one of the following manners as appropriate:

a. If the employee has a concealed handgun permit that is valid under Article 54B of this Chapter, or who is exempt from obtaining a permit pursuant to that Article, the handgun may be on the premises of the employee's residence or in a closed compartment or container within the employee's locked vehicle that is located in a parking area of the educational property of the school at which the person is employed and resides. Except for direct transfer between the residence and the vehicle, the handgun must remain at all times either on the premises of the employee's residence or in the closed compartment of the employee's locked vehicle. The employee may unlock the vehicle to enter or exit, but must lock the vehicle immediately following the entrance or exit if the handgun is in the vehicle. The handgun is possessed in one of the following manners as appropriate:

a. If the employee has a concealed handgun permit that is valid under Article 54B of this Chapter, or who is exempt from obtaining a permit pursuant to that Article, the handgun may be on the premises of the employee's residence or in a closed compartment or container within the employee's locked vehicle that is located in a parking area of the educational property of the school at which the person is employed and resides. Except for direct transfer between the residence and the vehicle, the handgun must remain at all times either on the premises of the employee's residence or in the closed compartment of the employee's locked vehicle. The employee may unlock the vehicle to enter or exit, but must lock the vehicle immediately following the entrance or exit if the handgun is in the vehicle.",NA
"1543","NC1049","North Carolina","Restrictive","Firearms In College/University","Public And Private : Possession Prohibited","Prohibits the possession of all firearms on the property of all private and public colleges and universities","Implement","Handgun",1971-04-27,"(a)(1b) School.--A public or private school, community college, college, or university. (b) It shall be a Class I felony for any person knowingly to possess or carry, whether openly or concealed, any gun, rifle, pistol, or other firearm of any kind on educational property or to a curricular or extracurricular activity sponsored by a school.",NA
"1544","NC1050","North Carolina","Restrictive","Firearms In College/University","Public And Private : Possession Prohibited","Prohibits the possession of all firearms on the property of all private and public colleges and universities","Implement","Long Gun",1971-04-27,"(a)(1b) School.--A public or private school, community college, college, or university. (b) It shall be a Class I felony for any person knowingly to possess or carry, whether openly or concealed, any gun, rifle, pistol, or other firearm of any kind on educational property or to a curricular or extracurricular activity sponsored by a school.",NA
"1545","NC1051","North Carolina",NA,"Local Laws Preempted By State",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"State law does not preempt local law","1996-06-21"
"1546","NC1052","North Carolina","Permissive","Local Laws Preempted By State","Comprehensive","Prohibits local laws for a specific class of laws","Implement","Handgun And/Or Long Gun",1996-06-21,"(a) It is declared by the General Assembly that the regulation of firearms is properly an issue of general, statewide concern, and that the entire field of regulation of firearms is preempted from regulation by local governments except as provided by this section.

(b) Unless otherwise permitted by statute, no county or municipality, by ordinance, resolution, or other enactment, shall regulate in any manner the possession, ownership, storage, transfer, sale, purchase, licensing, taxation, manufacture, transportation, or registration of firearms, firearms ammunition, components of firearms, dealers in firearms, or dealers in handgun components or parts.",NA
"1547","NC1053","North Carolina",NA,"Prohibited Possessor","Convicted Of Crime : Removal","Requires police to remove firearms from individuals convicted of a firearm-prohibiting crime",NA,"Handgun And/Or Long Gun",NA,"No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime",NA
"1548","NC1054","North Carolina",NA,"Required Reporting Of Lost Or Stolen Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law requiring reporting of lost or stolen firearms",NA
"1549","NC1055","North Carolina","Restrictive","Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun",1919-04-01,"(a) It is unlawful for any person, firm, or corporation in this State to sell, give away, or transfer, or to purchase or receive, at any place within this State from any other place within or without the State any pistol unless: (i) a license or permit is first obtained under this Article by the purchaser or receiver from the sheriff of the county in which the purchaser or receiver resides; or (ii) a valid North Carolina concealed handgun permit is held under Article 54B of this Chapter by the purchaser or receiver who must be a resident of the State at the time of the purchase.",NA
"1550","NC1056","North Carolina","Restrictive","Background Checks",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun",1919-04-01,"(a) It is unlawful for any person, firm, or corporation in this State to sell, give away, or transfer, or to purchase or receive, at any place within this State from any other place within or without the State any pistol unless: (i) a license or permit is first obtained under this Article by the purchaser or receiver from the sheriff of the county in which the purchaser or receiver resides; or (ii) a valid North Carolina concealed handgun permit is held under Article 54B of this Chapter by the purchaser or receiver who must be a resident of the State at the time of the purchase.",NA
"1551","ND1001","North Dakota",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Handgun",NA,"No law requiring background checks for private sales of handguns",NA
"1552","ND1002","North Dakota",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Handgun",NA,"No law requiring background checks for sales from dealers of handguns",NA
"1553","ND1003","North Dakota","Restrictive","Carrying A Concealed Weapon (Ccw)","Prohibited","Prohibits individuals from carrying guns in a concealed manner","Implement","Handgun",1945-01-01,"62-0301. Carrying Concealed Weapons or Firearms Prohibited. No person, other than a police officer, shall carry concealed about his person any of the following weapons or firearms unless they are carried in the prosecution of or to effect a lawful and legitimate purpose:

1. Any instrument or weapon of the kind usually known as a blackjack, slung shot, billy, sandclub, sandbag, bludgeon, metal knuckles, or any sharp or dangerous weapon usually employed in the attack or defense of a person;

2. Any gun or dangerous firearm whether the same is loaded or unloaded. ... 62-0304. Possession Presumptive Evidence of Intent to Use Weapon for Unlawful Purpose. The fact that any instrument, weapon, or explosive is carried concealed shall be evidence that the person so carrying the same intended to use the same for an unlawful purpose.","1985-04-15"
"1554","ND1004","North Dakota","Permissive","Carrying A Concealed Weapon (Ccw)","Shall Issue","Requires permits for concealed carrying; removes Law Enforcement discretion in issuing permit; only objective criteria for issuing permits","Modify","Handgun",1985-04-15,"62.1-04-03.  License to carry a firearm or dangerous weapon concealed -- Class 1 firearm license and class 2 firearm and dangerous weapon license.

1. The director of the bureau of criminal investigation shall issue a license to carry a firearm or dangerous weapon concealed upon review of an application submitted to the director if the following criteria are met:

     a. The applicant is at least twenty-one years of age for a class 1 firearm license or at least eighteen years of age for a class 2 firearm and dangerous weapon license;

     b. The applicant can demonstrate that the applicant is a resident of this state by providing a copy of a valid driver's license or state-issued identification card from this state that establishes personal identification through photographic means and shows the applicant's name associated with a valid residential street address in this state or the applicant possesses a valid driver's license from the applicant's state of residence that establishes personal identification through photographic means and shows the applicant's name associated with a valid residential street address and a valid concealed weapons license from the applicant's state of residence, which state has reciprocity with this state under section 62.1-04-03.1;

     c. The applicant is not an individual specified in section 62.1-02-01 and for a class 1 firearm license the applicant:

         (1) Has not been convicted of a felony;

         (2) Has not been convicted of a crime of violence;

         (3) Has not been convicted of an offense involving the use of alcohol within ten years prior to the date of application;

         (4) Has not been convicted of a misdemeanor offense involving the unlawful use of narcotics or other controlled substances within ten years prior to the date of application;

         (5) Has not been convicted of an offense involving moral turpitude;

         (6) Has not been convicted of an offense involving domestic violence;

         (7) Has not been adjudicated by a state or federal court as mentally incompetent, unless the adjudication has been withdrawn or reversed; and

         (8) Is qualified to purchase and possess a firearm under federal law;

     d. The applicant has successfully completed the testing procedure conducted by a certified test administrator. The person conducting the testing may assess a charge of up to fifty dollars for conducting this testing. The attorney general may certify a test administrator based upon criteria and guidelines prescribed by the director of the bureau of criminal investigation;

     e. The applicant satisfactorily completes the bureau of criminal investigation application form and has successfully passed the criminal history records check conducted by the bureau of criminal investigation and the federal bureau of investigation. The applicant shall provide all documentation relating to any court-ordered treatment or commitment for mental health or alcohol or substance abuse. The applicant shall provide the director of the bureau of criminal investigation written authorizations for disclosure of the applicant's mental health and alcohol or substance abuse evaluation and treatment records. The bureau may deny approval for a license if the bureau has reasonable cause to believe that the applicant or licenseholder has been or is a danger to self or others as demonstrated by evidence, including past pattern of behavior involving unlawful violence or threats of unlawful violence; past participation in incidents involving unlawful violence or threats of unlawful violence; or conviction of a weapons offense. In determining whether the applicant or licenseholder has been or is a danger to self or others, the bureau may inspect expunged records of arrests and convictions of adults and juvenile court records; and

     f. The applicant is not prohibited under federal law from owning, possessing, or having a firearm under that individual's control.

2. The attorney general shall offer class 1 firearm and class 2 firearm and dangerous weapon licenses to carry a firearm or dangerous weapon concealed under the following requirements:

     a. An applicant for a class 1 firearm license shall successfully participate in a classroom instruction that sets forth weapon safety rules and the deadly force law of North Dakota, complete an open book test based upon a manual, demonstrate familiarity with a firearm, and complete an actual shooting or certified proficiency exercise. Evidence of familiarity with a firearm to be concealed may be satisfied by one of the following:

         (1) Certification of familiarity with a firearm by an individual who has been certified by the attorney general, which may include a law enforcement officer, military or civilian firearms instructor, or hunter safety instructor;

         (2) Evidence of equivalent experience with a firearm through participation in an organized shooting competition, law enforcement, or military service;

         (3) Possession of a license from another state to carry a firearm, concealed or otherwise, which is granted by that state upon completion of a course described in paragraphs 1 and 2; or

         (4) Evidence that the applicant, during military service, was found to be qualified to operate a firearm.

     b. An applicant for a class 2 firearm and dangerous weapon license is required to successfully complete the open book test offered for the class 1 firearm license.

     c. A North Dakota resident who has a valid class 1 firearm license also may carry a class 2 dangerous weapon without any further testing required. Class 1 and class 2 permits are equally valid in this state.

     d. Additional testing is not required to renew a class 2 firearm and dangerous weapon license. A class 1 firearm license may be renewed upon successful completion of the class 1 firearm requirements within thirty days before submission of the application for renewal.","2017-08-01"
"1555","ND1005","North Dakota","Permissive","Castle Doctrine","Expanded 1","Expands castle doctrine beyond the home to the verhicle (or family member's vehicle) or place of work","Modify","Handgun And/Or Long Gun",1975-07-01,"No person is required to retreat from his dwelling, or place of work, unless he was the original aggressor or is assailed by a person who he knows also dwells or works there.",NA
"1556","ND1006","North Dakota",NA,"Child Access Laws","Intentional, Reckless, Or Knowing Provision","Prohibits individuals from furnishing guns to minors",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - intentional, reckless, or knowing provision",NA
"1557","ND1007","North Dakota",NA,"Dealer License",NA,"Requires dealers of firearms to be licensed by the state",NA,"Handgun",NA,"No law requiring dealer license for handguns",NA
"1558","ND1008","North Dakota","Restrictive","Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun","Implement","Handgun",1985-04-15," d. A person under the age of eighteen years may not possess a handgun except that such a person, while under the direct supervision of an adult, may possess a handgun for the purposes of firearm safety training, target shooting, or hunting.",NA
"1559","ND1009","North Dakota",NA,"Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun",NA,"Handgun",NA,"No law imposing minimum age for youth possession of handguns","1985-04-15"
"1560","ND1010","North Dakota","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Implement","Handgun",1985-04-15,"Any person who sells, barters, hires, lends, or gives any handgun to any minor is guilty of a class A misdemeanor. This section does not prohibit a person from lending or giving a handgun to a minor if the minor will be using the handgun under the direct supervision of an adult and for the purpose of firearm safety training, target shooting, or hunting.",NA
"1561","ND1011","North Dakota",NA,"Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age",NA,"Handgun",NA,"No law imposing minimum purchase and sale age for handguns","1985-04-15"
"1562","ND1013","North Dakota","Permissive","Open Carry","Limited","Allows individuals to openly carry guns without a license but with specific limitations","Implement","Handgun",1985-08-01,"A handgun may not be carried unless by an individual not otherwise prohibited and if:

a. Between the hours of one hour before sunrise and one hour after sunset, the handgun is unloaded and either in plain view or secured.

b. Between the hours of one hour after sunset and one hour before sunrise, the handgun is unloaded and secured.

2. The restrictions provided in subdivisions a and b of subsection 1 do not apply to:

a. An individual possessing a valid concealed weapons license from this state or who has reciprocity under section 62.1-04-03.1.",NA
"1563","ND1014","North Dakota",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Handgun",NA,"No law restricting open carry for handguns","1985-08-01"
"1564","ND1017","North Dakota",NA,"Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age",NA,"Long Gun",NA,"No law imposing minimum purchase and sale age for long guns",NA
"1565","ND1018","North Dakota",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Long Gun",NA,"No law requiring background checks for sales from dealers of long guns",NA
"1566","ND1019","North Dakota",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Long Gun",NA,"No law requiring background checks for private sales of long guns",NA
"1567","ND1020","North Dakota",NA,"Child Access Laws","Negligent Storage","Mandates safe storage of guns",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - negligent storage (CAP)",NA
"1568","ND1021","North Dakota",NA,"Dealer License",NA,"Requires dealers of firearms to be licensed by the state",NA,"Long Gun",NA,"No law requiring dealer license for long guns",NA
"1569","ND1022","North Dakota",NA,"Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring registration of long guns",NA
"1570","ND1023","North Dakota","Restrictive","Prohibited Possessor","Mental Health : Committed To Mh Facility","Prohibits the possession of firearms for those who have been involuntarily committed to mental health institutions","Implement","Handgun And/Or Long Gun",1985-08-01,"A person who is or has ever been diagnosed and confined or committed to a hospital or other institution in this state or elsewhere by a court of competent jurisdiction, ...as a person requiring treatment as defined in section 25-03.1-02, or as a mentally deficient individual, is prohibited from purchasing a firearm or having one in possession or under control. ",NA
"1571","ND1024","North Dakota","Restrictive","Prohibited Possessor","Dvro : Expanded","Expands the DVRO provision to include dating partners","Implement","Handgun And/Or Long Gun",1997-03-27,"14-07.1-01(4):  “Family or household member” means a spouse, family member, former spouse, parent, child, persons related by blood or marriage, persons who are in a dating relationship, persons who are presently residing together or who have resided together in the past, persons who have a child in common regardless of whether they are or have been married or have lived together at any time, and, for the purpose of the issuance of a domestic violence protection order, any other person with a sufficient relationship to the abusing person as determined by the court under section 14-07.1-02.. 14-07.1-02(4)(g): Upon a showing of actual or imminent domestic violence, the court may enter a protection order after due notice and full hearing. The relief provided by the court may include any or all of the following: g. Requiring the respondent to surrender for safekeeping any firearm or other specified dangerous weapon, as defined in section 12.1-01-04, in the respondent's immediate possession or control or subject to the respondent's immediate control, if the court has probable cause to believe that the respondent is likely to use, display, or threaten to use the firearm or other dangerous weapon in any further acts of violence. If so ordered, the respondent shall surrender the firearm or other dangerous weapon to the sheriff, or the sheriff's designee, of the county in which the respondent resides or to the chief of police, or the chief's designee, of the city in which the respondent resides in the manner and at the time and place determined by that law enforcement officer. If the firearm or other dangerous weapon is not surrendered, the law enforcement officer may arrest the respondent pursuant to section 14-07.1-11 and take possession of the firearm or other dangerous weapon.",NA
"1572","ND1025","North Dakota","Restrictive","Prohibited Possessor","Dvro Ex Parte : Expanded","Extends the DRVO Ex Parte to include dating partners","Implement","Handgun And/Or Long Gun",1997-03-27,"14-07.1-03.1. If an application under section 14-07.1-02 alleges an immediate and present danger of domestic violence to the applicant, based upon an allegation of a recent incident of actual domestic violence, the court may grant an ex parte temporary protection order, pending a full hearing, granting such relief as the court deems proper.

2. An ex parte temporary protection order may include:

d. Requiring the respondent to surrender for safekeeping any firearm or other

specified dangerous weapon, as defined in section 12.1-01-04, in the respondent's immediate possession or control or subject to the respondent's immediate control, if the court has probable cause to believe that the respondent

is likely to use, display, or threaten to use the firearm or other dangerous weapon

in any further acts of violence. If so ordered, the respondent shall surrender the firearm or other dangerous weapon to the sheriff, or the sheriff's designee, of the county in which the respondent resides or the chief of police, or the chief's designee, of the city in which the respondent resides.    § 14-07.1-01.4. “Family or household member” means a spouse, family member, former spouse, parent, child, persons related by blood or marriage, persons who are in a dating relationship, persons who are presently residing together or who have resided together in the past, persons who have a child in common regardless of whether they are or have been married or have lived together at any time, and, for the purpose of the issuance of a domestic violence protection order, any other person with a sufficient relationship to the abusing person as determined by the court under section 14-07.1-02.",NA
"1573","ND1026","North Dakota",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring safety training for handguns",NA
"1574","ND1027","North Dakota","Permissive","Carrying A Concealed Weapon (Ccw)","Shall Issue (Permit Not Required)","Allows individuals to carry concealed weapons without a permid","Modify","Handgun",2017-08-01,"62.1-04-01. An individual may carry a handgun  unless the individual is otherwise prohibited.  62.1-04-02. An individual who is a citizen or legal resident of the United States and is at least  twenty-one years of age, may carry any firearm or dangerous weapon concealed unless otherwise prohibited by law.",NA
"1575","ND1028","North Dakota",NA,"Prohibited Possessor","Erpo","Allows law enforcement officials to petition a court to remove firearms from a person who is known to be a risk to themselves or others",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting possession of firearms by individuals subject to ERPO",NA
"1576","ND1029","North Dakota",NA,"Prohibited Possessor","Dvro","Prohibits individuals with a domestic violence restraining order from owning, possessing, or purchasing firearms",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals subject to DVRO from possessing firearms","1997-03-27"
"1577","ND1030","North Dakota",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring safety training for long guns",NA
"1578","ND1031","North Dakota",NA,"Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun",NA,"Long Gun",NA,"No law imposing minimum age for youth possession of long guns",NA
"1579","ND1032","North Dakota",NA,"Prohibited Possessor","Mental Health","Prohibits the possession of firearms for those with severe mental health challenges",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals with mental health issues from possessing firearms","1985-08-01"
"1580","ND1033","North Dakota","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Handgun",1994-02-28,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 

(A) after the most recent proposal of such transfer by the transferee— 

(i) the transferor has— 

(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 

(II) verified the identity of the transferee by examining the identification document presented; 

(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 

(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",NA
"1581","ND1034","North Dakota","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Long Gun",1998-11-30,"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—

(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;

(B) (i) the system provides the licensee with a unique identification number; or

(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and

(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",NA
"1582","ND1035","North Dakota",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Long Gun",NA,"No law restricting open carry for long guns",NA
"1583","ND1036","North Dakota",NA,"Firearm Sales Restrictions",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law imposing any firearm ban",NA
"1584","ND1037","North Dakota",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring permit for the purchase of a handgun",NA
"1585","ND1038","North Dakota",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring permit for the purchase of a long gun",NA
"1586","ND1039","North Dakota","Permissive","Castle Doctrine",NA,"Allows individuals to use deadly force in defense of themselves, others, and their homes without the duty to retreat","Implement","Handgun And/Or Long Gun",1900-01-01,"Common Law Castle Doctrine. Common Law Castle Doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).","1975-07-01"
"1587","ND1040","North Dakota","Restrictive","Waiting Period","Federal","Restates a federal law requiring a five-day waiting period","Implement","Handgun",1994-02-28,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless—“(A) after the most recent proposal of such transfer by the transferee—(ii)(I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or

“(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.","1998-11-30"
"1588","ND1041","North Dakota","Permissive","Waiting Period","Federal","Restates a federal law requiring a five-day waiting period","Repeal","Handgun",1998-11-30,"Repealed.",NA
"1589","ND1042","North Dakota",NA,"Firearm Removal At Scene Of Domestic Violence",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning removal of firearms at scene of domestic violence incident",NA
"1590","ND1043","North Dakota",NA,"Firearms In College/University",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning firearms on college or university campus",NA
"1591","ND1044","North Dakota",NA,"Local Laws Preempted By State",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"State law does not preempt local law","1985-08-01"
"1592","ND1045","North Dakota","Permissive","Local Laws Preempted By State","Comprehensive","Prohibits local laws for a specific class of laws","Implement","Handgun And/Or Long Gun",1985-08-01,"A political subdivision, including home rule cities or counties, may not enact any ordinance relating to the purchase, sale, ownership, possession, transfer of ownership, registration, or licensure of firearms and ammunition which is more restrictive than state law. All such existing ordinances are void.",NA
"1593","ND1046","North Dakota",NA,"Prohibited Possessor","Convicted Of Crime : Removal","Requires police to remove firearms from individuals convicted of a firearm-prohibiting crime",NA,"Handgun And/Or Long Gun",NA,"No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime",NA
"1594","ND1047","North Dakota",NA,"Required Reporting Of Lost Or Stolen Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law requiring reporting of lost or stolen firearms",NA
"1595","ND1048","North Dakota","Restrictive","Gun Trafficking",NA,"Prohibits the sale or transfer of a firearm to a person who is ineligible to possess a firearm","Implement","Handgun And/Or Long Gun",1985-04-15,"A person is guilty of an offense if the person supplies a firearm, ammunition, or explosive material to, or procures or receives a firearm, ammunition, or explosive material for, a person prohibited by this title from receiving it if the transferor knows or has reasonable cause to believe that such person is prohibited by section 62.1-02-01 from receiving or possessing it.",NA
"1596","ND1049","North Dakota","Restrictive","Gun Trafficking","Straw Purchase","Prohibits the sale or transfer of a firearm for a person while knowing that the person is prohibited from possessing a firearm under state or federal law","Implement","Handgun And/Or Long Gun",1985-04-15,"1. A person is guilty of an offense if the person supplies a firearm, ammunition, or explosive material to, or procures or receives a firearm, ammunition, or explosive material for, a person prohibited by this title from receiving it if the transferor knows or has reasonable cause to believe that such person is prohibited by section 62.1-02-01 from receiving or possessing it.",NA
"1597","NE1001","Nebraska","Restrictive","Background Checks","Permit To Purchase","Requires Law Enforcement to conduct a check before a permit may be issued","Implement","Handgun",1991-09-05,"§ 69-2404. Certificate; application; fee.

Any person desiring to purchase, lease, rent, or receive transfer of a handgun shall apply with the chief of police or sheriff of the applicant's place of residence for a certificate. The application may be made in person or by mail. The application form and certificate shall be made on forms approved by the Superintendent of Law Enforcement and Public Safety. The application shall include the applicant's full name, address, date of birth, and country of citizenship. If the applicant is not a United States citizen, the application shall include the applicant's place of birth and his or her alien or admission number. If the application is made in person, the applicant shall also present a current Nebraska motor vehicle operator's license, state identification card, or military identification card, or if the application is made by mail, the application form shall describe the license or card used for identification and be notarized by a notary public who has verified the identification of the applicant through such a license or card. An applicant shall receive a certificate if he or she is twenty-one years of age or older and is not prohibited from purchasing or possessing a handgun by 18 U.S.C. 922. A fee of five dollars shall be charged for each application for a certificate to cover the cost of a criminal history record check.",NA
"1598","NE1002","Nebraska",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Handgun",NA,"No law requiring background checks for private sales of handguns","1991-09-05"
"1599","NE1003","Nebraska","Restrictive","Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun","Implement","Handgun",1991-09-05,"Upon the receipt of an application for a certificate, the chief of police or sheriff shall issue a certificate or deny a certificate and furnish the applicant the specific reasons for the denial in writing. The chief of police or sheriff shall be permitted up to three days in which to conduct an investigation to determine whether the applicant is prohibited by law from purchasing or possessing a handgun.",NA
"1600","NE1004","Nebraska",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Handgun",NA,"No law requiring background checks for sales from dealers of handguns","1991-09-05"
"1601","NE1005","Nebraska","Restrictive","Carrying A Concealed Weapon (Ccw)","Prohibited","Prohibits individuals from carrying guns in a concealed manner","Implement","Handgun",1977-01-01,"Except as provided in subsection (2) of this section, any person who carries a weapon or weapons concealed on or about his or her person such as a revolver, pistol, bowie knife, dirk or knife with a dirk blade attachment, brass or iron knuckles, or any other deadly weapon commits the offense of carrying a concealed weapon.

(2) It shall be an affirmative defense that the defendant was engaged in any lawful business, calling, or employment at the time he or she was carrying any weapon or weapons and the circumstances in which such person was placed at the time were such as to justify a prudent person in carrying the weapon or weapons for the defense of his or her person, property, or family.","2007-01-01"
"1602","NE1006","Nebraska","Permissive","Carrying A Concealed Weapon (Ccw)","Shall Issue","Requires permits for concealed carrying; removes Law Enforcement discretion in issuing permit; only objective criteria for issuing permits","Modify","Handgun",2007-01-01,"Until January 1, 2010, the permit to carry a concealed handgun shall be issued by the Nebraska State Patrol within five business days after completion of the applicant's criminal history record information check, if the applicant has complied with this section and has met all the requirements of section 69-2433.

(b) Beginning January 1, 2010, the permit to carry a concealed handgun shall be issued by the Nebraska State Patrol within forty-five days after the date an application for the permit has been made by the applicant if the applicant has complied with this section and has met all the requirements of section 69-2433.",NA
"1603","NE1007","Nebraska",NA,"Child Access Laws","Intentional, Reckless, Or Knowing Provision","Prohibits individuals from furnishing guns to minors",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - intentional, reckless, or knowing provision",NA
"1604","NE1008","Nebraska",NA,"Dealer License",NA,"Requires dealers of firearms to be licensed by the state",NA,"Handgun",NA,"No law requiring dealer license for handguns",NA
